66.570	-6.189	0.307	4.013
66.685	-6.201	0.306	4.004
66.790	-6.214	0.306	3.994
66.892	-6.227	0.305	3.985
67.010	-6.242	0.305	3.974
67.115	-6.253	0.304	3.966
67.220	-6.264	0.304	3.958
67.334	-6.275	0.303	3.949
67.451	-6.287	0.303	3.941
67.558	-6.298	0.303	3.933
67.668	-6.309	0.302	3.925
67.771	-6.319	0.302	3.917
67.880	-6.330	0.302	3.909
67.984	-6.340	0.301	3.902
68.093	-6.346	0.301	3.897
68.201	-6.351	0.301	3.894
68.322	-6.356	0.301	3.890
68.426	-6.359	0.301	3.888
68.548	-6.362	0.300	3.886
68.649	-6.363	0.300	3.885
68.765	-6.363	0.300	3.885
68.870	-6.363	0.300	3.885
68.971	-6.361	0.300	3.887
69.073	-6.359	0.301	3.888
69.185	-6.357	0.301	3.890
69.285	-6.353	0.301	3.892
69.393	-6.349	0.301	3.895
69.502	-6.344	0.301	3.899
69.611	-6.338	0.301	3.903
69.712	-6.332	0.302	3.908
69.816	-6.325	0.302	3.913
69.928	-6.316	0.302	3.919
70.031	-6.310	0.302	3.924
70.132	-6.306	0.302	3.926
70.243	-6.303	0.302	3.929
70.353	-6.301	0.303	3.931
70.455	-6.299	0.303	3.932
70.576	-6.297	0.303	3.934
70.690	-6.295	0.303	3.935
70.792	-6.294	0.303	3.936
70.895	-6.293	0.303	3.936
71.015	-6.294	0.303	3.936
71.118	-6.299	0.303	3.932
71.226	-6.306	0.302	3.927
71.339	-6.314	0.302	3.921
71.440	-6.323	0.302	3.915
71.559	-6.334	0.301	3.906
71.674	-6.347	0.301	3.897
71.795	-6.363	0.300	3.885
71.910	-6.379	0.300	3.873
72.018	-6.394	0.299	3.862
72.133	-6.411	0.299	3.850
72.239	-6.427	0.298	3.838
72.352	-6.445	0.298	3.826
72.455	-6.462	0.297	3.813
72.568	-6.482	0.296	3.799
72.670	-6.501	0.296	3.785
72.771	-6.520	0.295	3.772
72.883	-6.542	0.294	3.756
72.986	-6.564	0.294	3.740
73.100	-6.579	0.293	3.729
73.204	-6.593	0.293	3.719
73.306	-6.605	0.292	3.710
73.424	-6.619	0.292	3.701
73.541	-6.631	0.291	3.692
73.662	-6.643	0.291	3.683
73.780	-6.654	0.291	3.676
73.883	-6.662	0.290	3.670
73.999	-6.671	0.290	3.664
74.105	-6.672	0.290	3.663
74.219	-6.672	0.290	3.663
74.342	-6.669	0.290	3.665
74.447	-6.665	0.290	3.668
74.551	-6.659	0.290	3.672
74.674	-6.650	0.291	3.679
74.792	-6.639	0.291	3.687
74.899	-6.626	0.291	3.696
75.014	-6.612	0.292	3.706
75.126	-6.598	0.292	3.716
75.229	-6.584	0.293	3.726
75.341	-6.567	0.293	3.737
75.465	-6.547	0.294	3.752
75.566	-6.529	0.295	3.765
75.681	-6.508	0.295	3.780
75.784	-6.487	0.296	3.795
75.889	-6.465	0.297	3.811
75.996	-6.441	0.298	3.828
76.103	-6.423	0.298	3.842
76.222	-6.402	0.299	3.857
76.329	-6.383	0.300	3.871
76.434	-6.365	0.300	3.884
76.553	-6.343	0.301	3.900
76.665	-6.323	0.302	3.914
76.772	-6.304	0.302	3.929
76.874	-6.286	0.303	3.941
76.992	-6.265	0.304	3.957
77.097	-6.251	0.304	3.968
77.218	-6.234	0.305	3.980
77.326	-6.220	0.305	3.990
77.437	-6.207	0.306	4.000
77.538	-6.195	0.306	4.008
77.658	-6.182	0.307	4.018
77.761	-6.172	0.307	4.026
77.862	-6.162	0.307	4.033
77.972	-6.153	0.308	4.040
78.092	-6.142	0.308	4.048
78.199	-6.134	0.308	4.054
78.311	-6.127	0.309	4.060
78.425	-6.119	0.309	4.065
78.532	-6.113	0.309	4.070
78.634	-6.108	0.309	4.073
78.745	-6.103	0.310	4.077
78.846	-6.099	0.310	4.080
78.962	-6.095	0.310	4.083
79.064	-6.091	0.310	4.086
79.167	-6.088	0.310	4.089
79.288	-6.084	0.310	4.092
79.391	-6.080	0.310	4.094
79.494	-6.078	0.310	4.096
79.611	-6.075	0.311	4.098
79.730	-6.073	0.311	4.100
79.831	-6.071	0.311	4.101
79.956	-6.070	0.311	4.102
80.075	-6.068	0.311	4.103
80.182	-6.066	0.311	4.105
80.288	-6.065	0.311	4.106
80.394	-6.063	0.311	4.107
80.506	-6.062	0.311	4.108
80.607	-6.061	0.311	4.108
80.710	-6.060	0.311	4.109
80.829	-6.060	0.311	4.110
80.948	-6.059	0.311	4.110
81.050	-6.058	0.311	4.110
81.158	-6.058	0.311	4.111
81.263	-6.057	0.311	4.111
81.379	-6.056	0.311	4.112
81.498	-6.056	0.311	4.112
81.605	-6.056	0.311	4.113
81.714	-6.055	0.311	4.113
81.821	-6.055	0.311	4.113
81.943	-6.055	0.311	4.113
82.047	-6.054	0.311	4.113
82.160	-6.054	0.311	4.114
82.279	-6.054	0.311	4.114
82.381	-6.054	0.311	4.114
82.496	-6.054	0.311	4.114
82.603	-6.053	0.311	4.114
82.705	-6.053	0.311	4.114
82.808	-6.053	0.311	4.114
82.927	-6.053	0.311	4.114
83.034	-6.053	0.311	4.115
83.136	-6.053	0.311	4.115
83.251	-6.053	0.311	4.115
83.368	-6.053	0.311	4.115
83.468	-6.053	0.311	4.115
83.573	-6.053	0.311	4.115
83.692	-6.053	0.311	4.115
83.796	-6.052	0.311	4.115
83.912	-6.052	0.311	4.115
84.017	-6.052	0.311	4.115
84.122	-6.052	0.311	4.115
84.240	-6.052	0.311	4.115
84.345	-6.052	0.311	4.115
84.450	-6.052	0.311	4.115
84.566	-6.052	0.311	4.115
84.680	-6.052	0.311	4.115
84.799	-6.052	0.311	4.115
84.902	-6.052	0.311	4.115
85.017	-6.052	0.311	4.115
85.127	-6.052	0.311	4.115
85.249	-6.052	0.311	4.115
85.369	-6.052	0.311	4.115
85.475	-6.052	0.311	4.115
85.594	-6.052	0.311	4.115
85.703	-6.052	0.311	4.115
